173,82,82,0.00,35.48,50
173,99,82,11.25,35.48,50
173,116,82,22.50,35.48,50
177,134,78,33.75,38.71,50
181,154,74,45.00,41.94,50
181,174,74,56.25,41.94,50
165,177,78,67.50,38.71,50
144,173,82,78.75,35.48,50
128,173,82,90.00,35.48,50
111,173,82,101.25,35.48,50
94,173,82,112.50,35.48,50
82,173,88,123.75,35.48,50
82,173,105,135.00,35.48,50
78,177,121,146.25,38.71,50
78,177,140,157.50,38.71,50
82,173,173,180.00,35.48,50
78,177,158,168.75,38.71,50
82,156,173,191.25,35.48,50
86,122,169,213.75,32.26,50
86,138,169,202.50,32.26,50
86,107,169,225.00,32.26,50
86,92,169,236.25,32.26,50
94,82,173,247.50,35.48,50
109,78,177,258.75,38.71,50
127,78,177,270.00,38.71,50
144,82,173,281.25,35.48,50
158,86,169,292.50,32.26,50
165,90,160,303.75,29.03,50
169,86,148,315.00,32.26,50
173,82,133,326.25,35.48,50
169,86,102,348.75,32.26,50
173,82,116,337.50,35.48,50
