189,66,66,0.00,48.39,50
193,86,62,11.25,51.61,50
193,111,62,22.50,51.61,50
193,136,62,33.75,51.61,50
206,167,49,45.00,61.29,50
218,207,37,56.25,70.97,50
195,218,37,67.50,70.97,50
160,214,41,78.75,67.74,50
128,210,45,90.00,64.52,50
101,197,58,101.25,54.84,50
78,193,62,112.50,51.61,50
62,193,70,123.75,51.61,50
53,202,90,135.00,58.06,50
45,210,117,146.25,64.52,50
45,210,148,157.50,64.52,50
49,206,176,168.75,61.29,50
49,206,206,180.00,61.29,50
62,169,193,191.25,51.61,50
66,143,189,202.50,48.39,50
66,120,189,213.75,48.39,50
53,90,202,225.00,58.06,50
49,59,206,236.25,61.29,50
69,49,206,247.50,61.29,50
98,49,206,258.75,61.29,50
127,53,202,270.00,58.06,50
155,53,202,281.25,58.06,50
186,49,206,292.50,61.29,50
197,58,189,303.75,54.84,50
197,58,162,315.00,54.84,50
185,70,135,326.25,45.16,50
189,66,112,337.50,48.39,50
193,62,86,348.75,51.61,50
