239,16,16,0.00,87.10,50
239,58,16,11.25,87.10,50
239,100,16,22.50,87.10,50
239,141,16,33.75,87.10,50
239,183,16,45.00,87.10,50
243,228,12,56.25,90.32,50
214,243,12,67.50,90.32,50
172,247,8,78.75,93.55,50
128,247,8,90.00,93.55,50
83,247,8,101.25,93.55,50
44,239,16,112.50,87.10,50
16,239,30,123.75,87.10,50
16,239,72,135.00,87.10,50
12,243,113,146.25,90.32,50
8,247,157,157.50,93.55,50
8,247,202,168.75,93.55,50
8,247,247,180.00,93.55,50
12,199,243,191.25,90.32,50
16,155,239,202.50,87.10,50
16,114,239,213.75,87.10,50
16,72,239,225.00,87.10,50
21,34,234,236.25,83.87,50
47,21,234,247.50,83.87,50
87,21,234,258.75,83.87,50
127,21,234,270.00,83.87,50
168,21,234,281.25,83.87,50
211,16,239,292.50,87.10,50
243,12,228,303.75,90.32,50
243,12,185,315.00,90.32,50
243,12,142,326.25,90.32,50
234,21,101,337.50,83.87,50
230,25,63,348.75,80.65,50
